station_id,name,short_name,latitude,longitude,capacity
081d243e-d75e-4e2a-bdae-a990b2397532,Lewis Ave & Greene Ave,4543.07,40.68995,-73.9365,23
d7a7789b-a052-4a69-a4ec-59436b0f8d75,West Farms Rd & Boone Ave,8076.08,40.8301283948092,-73.88630211353302,20
66dd836d-0aca-11e7-82f6-3863bb44ef7c,Christ Hospital,JC034,40.734785818,-74.050443636,22
1862008701134683118,Arthur Ave & E 183 St,8430.03,40.85307,-73.88953,25
2177016940364559212,David Sheridan Plaza & Broadway,9074.06,40.90501,-73.89663,16
55a4dc76-d839-4e06-9bf4-2f343391343c,Woodward Ave & Harman St,5074.08,40.70793,-73.91092,19
372c592e-09d8-400c-9595-2aa3510f39b0,Central Ave & Himrod St,4713.01,40.69676,-73.92302,25
1860187430946456420,E 176 St & Clinton Ave,8272.08,40.84311,-73.89149,20
b94d0241-bce7-44a9-ab1c-ece0740a4134,21 St & 36 Ave,6729.02,40.7601853,-73.9362726,19
1e83ffdc-8e72-45c0-8210-4f37e60505c9,31 St & Northern Blvd,6495.17,40.751869514218747,-73.933492898941026,35
1834145330979754058,74 St & 37 Ave,6332.06,40.74908,-73.89172,30
add829db-2feb-4e81-af61-056791a6e53b,St Johns Pl & Washington Ave,4001.09,40.6737236,-73.9631611,30
1828966882896859944,77 St & 24 Ave,6825.03,40.76428,-73.89156,19
ee70b21e-4a95-4bdf-802c-50f83a76971d,Cedar St & Evergreen Ave,4721.01,40.69671,-73.92807,25
a4c9faeb-2234-457d-ad56-1ab14104b538,61 St & Woodside Ave,6191.06,40.74501,-73.9036,20
2116635307734817684,Richard St Light Rail,JC133,40.6990691577764,-74.079150106547743,16
66dd5e69-0aca-11e7-82f6-3863bb44ef7c,Union St,JC051,40.7182113,-74.0836394,18
d09709d2-e119-48c4-aa22-29432a13a35a,Bloomfield St & 15 St,HB203,40.75453,-74.02658,14
66dd8479-0aca-11e7-82f6-3863bb44ef7c,Essex Light Rail,JC038,40.7127742,-74.0364857,22
66dd6441-0aca-11e7-82f6-3863bb44ef7c,Newport Pkwy,JC008,40.7287448,-74.0321082,14
66dddf5f-0aca-11e7-82f6-3863bb44ef7c,Leonard Gordon Park,JC080,40.74590996631558,-74.0572714805603,14
